County,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,Electric Utility,Vehicle Age,Is Luxury Brand
King,98011,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12,1
King,98072,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98074,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,16,52650,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
King,98011,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),5,1
King,98199,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),12,1
King,98040,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98034,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
Kitsap,98367,2008,TESLA,ROADSTER,Battery Electric Vehicle (BEV),0,220,98950,26,PUGET SOUND ENERGY INC,16,1
King,98042,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,47,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12,1
King,98008,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12,1
King,98008,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98011,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
King,98072,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
Kitsap,98110,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,23,PUGET SOUND ENERGY INC,5,1
King,98006,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98119,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,54950,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
Snohomish,98258,2012,FISKER,KARMA,Plug-in Hybrid Electric Vehicle (PHEV),0,33,102000,44,PUGET SOUND ENERGY INC,12,0
King,98033,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98198,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,93,32250,33,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),7,1
King,98075,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98115,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),0,32,39995,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),5,1
Clark,98606,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,18,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),12,1
King,98119,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
King,98034,2018,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,111,33950,1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
King,98074,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98038,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,93,32250,5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),7,1
King,98125,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),12,1
King,98133,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,32,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
King,98117,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
King,98119,2018,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),1,12,36800,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,0
King,98059,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98006,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,15,55700,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),5,1
King,98039,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
King,98133,2018,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,111,33950,32,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
Clark,98604,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,20,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),6,1
King,98103,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
Snohomish,98037,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,21,PUGET SOUND ENERGY INC,12,1
King,98168,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,54950,11,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
King,98122,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,37,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),5,1
King,98121,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
King,98121,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
King,98005,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),1,19,64950,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
King,98005,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98075,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12,1
King,98122,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,37,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),12,1
King,98038,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
King,98155,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),1,12,36900,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),5,0
King,98031,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,47,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
Thurston,98502,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,22,PUGET SOUND ENERGY INC,11,1
King,98119,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
King,98052,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
Clark,98683,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,44100,18,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),7,1
King,98033,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
King,98008,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98006,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,93,32250,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),7,1
King,98006,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12,1
King,98122,2020,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),1,14,81100,37,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),4,0
King,98028,2018,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,111,33950,46,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
King,98122,2019,SUBARU,CROSSTREK,Plug-in Hybrid Electric Vehicle (PHEV),1,17,34995,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),5,0
Kitsap,98312,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,35,PUGET SOUND ENERGY INC,11,1
King,98052,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,16,53400,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),5,1
King,98008,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98199,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
King,98003,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,54950,30,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
Snohomish,98223,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,39,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,11,1
King,98052,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,93,32250,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),7,1
King,98155,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,32,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),8,1
King,98011,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
King,98117,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),1,19,64950,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
Clark,98607,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,18,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),5,1
King,98052,2018,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,111,33950,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
Clark,98642,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),5,1
Clark,98607,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,18,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),11,1
Clark,98683,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,44100,18,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),7,1
King,98116,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,44100,34,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),7,1
King,98074,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
Thurston,98501,2010,WHEEGO ELECTRIC CARS,WHEEGO,Plug-in Hybrid Electric Vehicle (PHEV),0,100,32995,22,PUGET SOUND ENERGY INC,14,0
King,98177,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,32,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10,1
King,98166,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,34,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98112,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
Clark,98642,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,18,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),11,1
King,98004,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
King,98031,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,47,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
King,98144,2010,TESLA,ROADSTER,Battery Electric Vehicle (BEV),0,245,110950,37,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),14,1
King,98005,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
King,98058,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,11,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
King,98112,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10,1
Snohomish,98012,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),1,12,36900,1,PUGET SOUND ENERGY INC,5,0
King,98011,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,54950,1,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
King,98109,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10,1
King,98006,2018,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),1,14,184400,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,0
King,98045,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98177,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,32,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),12,1
Kitsap,98367,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),0,32,39995,26,PUGET SOUND ENERGY INC,5,1
King,98052,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98038,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
Clark,98685,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),1,12,36900,18,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),5,0
King,98008,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,15,55700,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),5,1
King,98074,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
Clark,98685,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,18,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),10,1
King,98074,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,16,52650,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
Snohomish,98258,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,54950,44,PUGET SOUND ENERGY INC,6,1
King,98074,2011,TESLA,ROADSTER,Battery Electric Vehicle (BEV),0,245,109000,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),13,1
Clark,98683,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,93,32250,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),7,1
King,98119,2019,SUBARU,CROSSTREK,Plug-in Hybrid Electric Vehicle (PHEV),1,17,34995,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),5,0
King,98004,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98122,2020,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),1,14,81100,37,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),4,0
King,98133,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,32,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
King,98107,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),5,1
King,98074,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98109,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
King,98038,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,54950,5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
Clark,98686,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,54950,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),6,1
King,98038,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,15,55700,5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),5,1
King,98155,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,32,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),8,1
King,98029,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,93,32250,5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),7,1
Clark,98682,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),6,1
King,98038,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98075,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,44100,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),7,1
King,98134,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,11,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10,1
King,98052,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),1,19,64950,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
King,98102,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),5,1
King,98045,2010,TESLA,ROADSTER,Battery Electric Vehicle (BEV),0,245,110950,5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),14,1
Cowlitz,98674,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,20,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,12,1
Clark,98665,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,49,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),8,1
King,98133,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,32,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
King,98052,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,93,32250,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),7,1
King,98092,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,47,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
King,98109,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
King,98039,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
King,98031,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,33,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98136,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,44100,34,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),7,1
Clark,98686,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,49,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),8,1
King,98031,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,47,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
King,98005,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98115,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,46,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),8,1
Yakima,98908,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,54950,14,PACIFICORP,6,1
King,98116,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,16,52650,34,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
King,98042,2018,PORSCHE,PANAMERA,Plug-in Hybrid Electric Vehicle (PHEV),1,14,184400,47,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,0
King,98177,2008,TESLA,ROADSTER,Battery Electric Vehicle (BEV),0,220,98950,32,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),16,1
King,98104,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,37,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10,1
King,98074,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,93,32250,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),7,1
King,98019,2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,45600,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),6,1
Kitsap,98366,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,26,PUGET SOUND ENERGY INC,10,1
King,98177,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,32,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10,1
King,98144,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,37,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),8,1
King,98103,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10,1
King,98034,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),0,32,39995,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),5,1
King,98146,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,34,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10,1
King,98126,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,93,32250,34,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),7,1
King,98039,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,48,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),10,1
King,98199,2018,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),1,17,52900,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),6,1
Clark,98683,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,18,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),10,1
Clark,98604,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,54950,18,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),6,1
King,98002,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,31,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11,1
King,98122,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,37,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11,1
Clark,98683,2020,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),1,14,81100,17,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),4,0
Kitsap,98370,2018,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),1,12,36800,23,PUGET SOUND ENERGY INC,6,0
King,98056,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,11,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
Snohomish,98037,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,21,PUGET SOUND ENERGY INC,11,1
King,98055,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,11,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98072,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),0,93,32250,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),7,1
Snohomish,98037,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,265,59900,32,PUGET SOUND ENERGY INC,12,1
King,98008,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
King,98177,2016,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,43700,32,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),8,1
King,98059,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),0,208,69900,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),10,1
King,98005,2016,KIA,SOUL,Battery Electric Vehicle (BEV),0,93,31950,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),8,1
Cowlitz,98632,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),1,14,54950,19,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,6,1
